image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;113;41;;;;;
img_02;53;32;;;;;
img_03;84;35;;;;;
img_04;57;36;;;;;
img_05;49;32;;;;;
img_06;88;51;;;;;
img_07;81;45;;;;;
img_08;106;47;;;;;
img_09;55;35;;;;;
img_10;76;59;;;;;
img_11;65;46;;;;;
img_12;81;60;;;;;
img_13;90;44;;;;;
img_14;72;51;;;;;
img_15;55;35;;;;;
