image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;65;;;;;;
img_02;76;;;;;;
img_03;76;;;;;;
img_04;76;;;;;;
img_05;68;;;;;;
img_06;82;;;;;;
img_07;64;;;;;;
img_08;71;;;;;;
img_09;85;;;;;;
img_10;100;;;;;;
img_11;57;;;;;;
img_12;88;;;;;;
img_13;67;;;;;;
img_14;92;;;;;;
img_15;94;;;;;;
