image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;81;60;48;73;72;;
img_02;83;78;60;83;85;;
img_03;88;56;46;83;87;;
img_04;75;58;46;68;68;;
img_05;56;45;36;53;56;;
img_06;92;58;45;78;76;;
img_07;75;58;46;68;68;;
img_08;58;46;37;55;54;;
img_09;89;61;44;80;89;;
img_10;77;73;60;77;80;;
img_11;85;50;38;73;88;;
img_12;55;45;39;53;55;;
img_13;78;51;40;65;69;;
img_14;63;55;47;59;59;;
img_15;64;43;33;57;54;;
